Date,S33,S33Nm,PER,PBR,PERCount,PBRCount
2023-08-25,5250,情報･通信業,17.59467040580649,2.1812695897871626,442,520
2023-09-01,5250,情報･通信業,17.9301734179915,2.199795367252454,446,524
2023-09-08,5250,情報･通信業,17.68893756845564,2.243179660737133,443,521
2023-09-15,5250,情報･通信業,17.927461139896373,2.200383109852586,443,525
2023-09-22,5250,情報･通信業,18.098209992425875,2.170369257164192,442,524
2023-09-29,5250,情報･通信業,18.085358802492667,2.1793645014723806,444,524
2023-10-06,5250,情報･通信業,17.82128173042472,2.131261706930503,440,521
2023-10-13,5250,情報･通信業,17.58453649482577,2.093797043677074,442,524
2023-10-20,5250,情報･通信業,17.210807921665875,2.046465094981425,444,528
2023-10-27,5250,情報･通信業,17.318171049514334,1.9990085346409958,441,525
2023-11-02,5250,情報･通信業,17.52109765198921,2.048612460018388,443,527
2023-11-10,5250,情報･通信業,18.011403695456682,2.014938335938857,444,527
2023-11-17,5250,情報･通信業,17.716655795572265,2.0013126077893677,448,532
2023-11-24,5250,情報･通信業,17.881864328564834,2.045677084711673,449,533
2023-12-01,5250,情報･通信業,17.717418221677114,2.0297986079868737,446,531
2023-12-08,5250,情報･通信業,17.569546120058565,1.989354462376045,449,533
2023-12-15,5250,情報･通信業,17.408860175357635,1.9598535195985352,445,533
2023-12-22,5250,情報･通信業,16.92805576300722,1.9641176973740484,445,533
2023-12-29,5250,情報･通信業,17.368459070725955,2.046445984090326,444,533
2024-01-05,5250,情報･通信業,17.324246771879483,2.071154167362619,441,531
2024-01-12,5250,情報･通信業,17.800793968618706,2.102055488541783,442,534
2024-01-19,5250,情報･通信業,17.931034482758623,2.120686950743747,441,532
2024-01-26,5250,情報･通信業,18.267218587167676,2.1685761047463172,442,533
2024-02-02,5250,情報･通信業,18.59912349258761,2.1531100478468903,444,533
2024-02-09,5250,情報･通信業,18.00310679465843,2.1310540632016135,446,536
2024-02-16,5250,情報･通信業,17.902594224180127,2.1712889783014804,451,547
2024-02-22,5250,情報･通信業,18.21263248324293,2.197613126241534,452,547
2024-03-01,5250,情報･通信業,18.460472470616693,2.2143641573565302,452,546
2024-03-08,5250,情報･通信業,18.268200742262724,2.2625898449236175,452,547
2024-03-15,5250,情報･通信業,17.978699297530024,2.194119943967028,455,546
2024-03-22,5250,情報･通信業,18.37823800930275,2.2452564191453463,454,545
2024-03-29,5250,情報･通信業,18.02913702144136,2.1998986496557067,455,547
2024-04-05,5250,情報･通信業,17.53384094754653,2.150049117606331,455,546
2024-04-12,5250,情報･通信業,17.642175176421752,2.2017951739838755,455,544
2024-04-19,5250,情報･通信業,17.07200981217568,2.069511950487872,460,546
2024-04-26,5250,情報･通信業,17.491651332219238,2.101529197841834,458,545
2024-05-02,5250,情報･通信業,17.18708299973312,2.1243227830054177,457,545
2024-05-10,5250,情報･通信業,17.444148628313464,2.155151554257876,461,547
2024-05-17,5250,情報･通信業,18.04281345565749,2.1487351417250835,475,547
2024-05-24,5250,情報･通信業,17.708069472197238,2.1325676307851142,478,549
2024-05-31,5250,情報･通信業,17.68483010791046,2.131656730624718,479,549
2024-06-07,5250,情報･通信業,17.698420484646324,2.1596039918584964,481,552
2024-06-14,5250,情報･通信業,17.846351892896323,2.169785780741851,480,552
2024-06-21,5250,情報･通信業,17.921146953405017,2.1576219848592144,477,550
2024-06-28,5250,情報･通信業,18.566078116639915,2.224137211316134,477,550
2024-07-05,5250,情報･通信業,18.36629168824681,2.208955258731776,478,552
2024-07-12,5250,情報･通信業,18.978235622194987,2.223563850076867,480,552
2024-07-19,5250,情報･通信業,19.029495718363464,2.2466645621215284,479,552
2024-07-26,5250,情報･通信業,18.1602416570771,2.175364470104566,481,554
2024-08-02,5250,情報･通信業,16.80565093691749,2.0055844881734908,483,554
2024-08-09,5250,情報･通信業,16.641604010025063,1.9103549924019971,479,553
2024-08-16,5250,情報･通信業,17.762934998305987,2.0099247318990208,483,553
2024-08-23,5250,情報･通信業,18.304925316304924,2.038511491332091,484,553
2024-08-30,5250,情報･通信業,18.61650076096189,2.0940476465026174,480,549
2024-09-06,5250,情報･通信業,18.331627947938713,2.055020789428718,482,551
2024-09-13,5250,情報･通信業,18.269421443450128,2.0670386106557492,480,550
2024-09-20,5250,情報･通信業,18.608451387995274,2.1195262636950067,480,549
2024-09-27,5250,情報･通信業,18.788253776384288,2.1143982308399836,480,552
2024-10-04,5250,情報･通信業,18.729094067529573,2.093934657057834,478,548
2024-10-11,5250,情報･通信業,18.488696190771137,2.0737678546781178,479,550
2024-10-18,5250,情報･通信業,18.11074083568316,2.029687973341412,481,551
2024-10-25,5250,情報･通信業,17.40707162284678,1.991673064430402,483,553
2024-11-01,5250,情報･通信業,17.887885786269155,2.030747807074335,483,552
2024-11-08,5250,情報･通信業,18.017113802603426,2.065651846668574,482,552
2024-11-15,5250,情報･通信業,18.359750190527045,2.02681139749265,484,556
2024-11-22,5250,情報･通信業,18.64460642247621,2.1060111249343625,484,556
2024-11-29,5250,情報･通信業,18.595499109525896,2.0836305504023027,484,556
2024-12-06,5250,情報･通信業,18.571886007044508,2.0717894393741854,483,555
2024-12-13,5250,情報･通信業,18.73358348968105,2.094998427178358,485,555
2024-12-20,5250,情報･通信業,18.26116393814653,2.0824596161911235,486,555
